,Unnamed: 0,Product  Name,Rating,Number of rates,Price,Img
3,3,Bretford CR4500 Series Slim Rectangular Table,,,,
6,6,Newell 322,,,,
10,10,Chromcraft Rectangular Conference Tables,,,,
16,16,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Còn hàng,3 đánh giá,"285,53 US$",
17,17,Fellowes Super Stor/Drawer,"Xếp hạng: 4,5",8 đánh giá,"122,50 US$",
20,20,"Wilson Jones Hanging View Binder, White, 1""","Xếp hạng: 4,1",38 đánh giá,"49,99 US$",
22,22,"Acco Six-Outlet Power Strip, 4' Cord Length",,395 đánh giá,"10,00 US$","Acco Six-Outlet Power Strip, 4' Cord Length.png"
25,25,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,,218 đánh giá,"18,99 US$",Imation 8GB Mini TravelDrive USB 2.0 Flash Drive.png
28,28,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","Xếp hạng: 4,4",187 đánh giá,"35,00 US$",
30,30,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","Xếp hạng: 3,4",42 đánh giá,"44,99 US$",
31,31,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","Xếp hạng: 3,8",32 đánh giá,"15,30 US$",
33,33,Easy-staple paper,,3.253 đánh giá,"17,72 US$",Easy-staple paper.png
36,36,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Xếp hạng: 5,1 đánh giá,"33,54 US$",
40,40,Panasonic Kx-TS550,,,,
43,43,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","Xếp hạng: 4,6",3 đánh giá,"52,59 US$",
45,45,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",,,,
46,46,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,,,
47,47,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",,,,
48,48,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","Xếp hạng: 4,4",467 đánh giá,"8,38 US$",
54,54,Home/Office Personal File Carts,"Xếp hạng: 4,7",40 đánh giá,"129,99 US$",
60,60,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","Xếp hạng: 4,5",189 đánh giá,"27,00 US$",
61,61,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","Xếp hạng: 3,8",32 đánh giá,"12,99 US$",
66,66,netTALK DUO VoIP Telephone Service,,,,
69,69,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","Xếp hạng: 4,3",23 đánh giá,"8,88 US$",
71,71,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","Xếp hạng: 3,3",17 đánh giá,"46,33 US$",
74,74,"6"" Cubicle Wall Clock, Black","Xếp hạng: 4,8",19 đánh giá,"21,99 US$",
75,75,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",,,,
77,77,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Xếp hạng: 4,4",6.256 đánh giá,"151,49 US$",
83,83,Novimex Swivel Fabric Task Chair,,12 đánh giá,"62,99 US$",Novimex Swivel Fabric Task Chair.png
86,86,Eldon Portable Mobile Manager,"Xếp hạng: 4,7",947 đánh giá,"41,48 US$",
87,87,Turquoise Lead Holder with Pocket Clip,,,,
89,89,Xerox 1999,,3 đánh giá,"25,71 US$",Xerox 1999.png
90,90,"Seth Thomas 13 1/2"" Wall Clock",Sản phẩm,5 đánh giá,"25,01 US$",
93,93,9-3/4 Diameter Round Wall Clock,Xếp hạng: 5,1 đánh giá,"15,35 US$",
95,95,Fellowes Basic Home/Office Series Surge Protectors,,9 đánh giá,"22,00 US$",
99,99,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),"Xếp hạng: 4,6",11 đánh giá,"85,06 US$",
102,102,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","Xếp hạng: 4,7",4 đánh giá,"8,16 US$",
103,103,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,,3 đánh giá,"49,99 US$",Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive.png
109,109,"Avery Durable Plastic 1"" Binders","Xếp hạng: 4,7",20.206 đánh giá,"8,09 US$",
111,111,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","Xếp hạng: 4,8",27.401 đánh giá,"8,55 US$",
115,115,GBC DocuBind 300 Electric Binding Machine,,2 đánh giá,"1.118,00 US$",GBC DocuBind 300 Electric Binding Machine.png
117,117,"Companion Letter/Legal File, Black","Xếp hạng: 4,3",198 đánh giá,"49,07 US$",
119,119,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,,,,
124,124,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,,700 đánh giá,"57,95 US$",Eldon Cleatmat Plus Chair Mats for High Pile Carpets.png
130,130,"Sanford Colorific Colored Pencils, 12/Box",Xếp hạng: 5,10 đánh giá,"8,50 US$",
136,136,Xerox 1911,,,,
137,137,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,,,,
138,138,"Seth Thomas 14"" Putty-Colored Wall Clock",Xem tất cả,1 đánh giá,"49,99 US$",
146,146,"Tenex Personal Project File with Scoop Front Design, Black",,,,
153,153,Wilson Jones International Size A4 Ring Binders,,,,
160,160,JBL Micro Wireless Portable Bluetooth Speaker,,,,
161,161,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”","Xếp hạng: 4,7",202 đánh giá,"8,96 US$",
162,162,Xerox 1913,,,,
166,166,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","Xếp hạng: 4,1",13 đánh giá,"36,15 US$",
167,167,"Padded Folding Chairs, Black, 4/Carton","Xếp hạng: 4,7",55 đánh giá,"134,89 US$",
168,168,Acme Rosewood Handle Letter Opener,,,,
171,171,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,,4 đánh giá,"28,98 US$",Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB.png
174,174,HP Standard 104 key PS/2 Keyboard,"Xếp hạng: 4,3",195 đánh giá,"38,68 US$",
177,177,"Personal Filing Tote with Lid, Black/Gray","Xếp hạng: 4,1",501 đánh giá,"27,18 US$",
179,179,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,,,,
183,183,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Còn hàng,4.627 đánh giá,"6,31 US$",
185,185,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Xếp hạng: 4,22 đánh giá,"10,87 US$",
186,186,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Xếp hạng: 1,1 đánh giá,"10,76 US$",
191,191,"Eldon 200 Class Desk Accessories, Burgundy",,,,
196,196,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",,,,
197,197,Memorex Micro Travel Drive 8 GB,,,,
199,199,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,,,,
204,204,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle","Xếp hạng: 4,7",280 đánh giá,"11,59 US$",
205,205,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Còn hàng,5.143 đánh giá,"27,77 US$",
206,206,Swingline SM12-08 MicroCut Jam Free Shredder,,,,
213,213,GBC Instant Index System for Binding Systems,,13 đánh giá,"29,99 US$",GBC Instant Index System for Binding Systems.png
216,216,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""","Xếp hạng: 4,3",66 đánh giá,"113,50 US$",
226,226,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","Xếp hạng: 4,7",202 đánh giá,"8,96 US$",
229,229,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Xếp hạng: 5,3 đánh giá,"11,25 US$",
232,232,"Belkin 19"" Vented Equipment Shelf, Black",Xếp hạng: 5,1 đánh giá,"294,99 US$",
237,237,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,,329 đánh giá,"27,95 US$",Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac.png
241,241,"Quartet Omega Colored Chalk, 12/Pack","Xếp hạng: 4,2",204 đánh giá,"10,00 US$",
245,245,Adjustable Depth Letter/Legal Cart,"Xếp hạng: 3,4",39 đánh giá,"319,29 US$",
249,249,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled","Xếp hạng: 4,5",411 đánh giá,"7,26 US$",
251,251,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad","Xếp hạng: 4,5",14 đánh giá,"14,99 US$",
252,252,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages","Xếp hạng: 4,7",1.003 đánh giá,"8,98 US$",
253,253,Eldon Simplefile Box Office,,,,
257,257,"Bevis Round Bullnose 29"" High Table Top","Xếp hạng: 4,2",433 đánh giá,"143,50 US$",
267,267,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Xếp hạng: 5,1 đánh giá,"1.082,02 US$",
268,268,Global Deluxe Office Fabric Chairs,,6.019 đánh giá,"77,99 US$",Global Deluxe Office Fabric Chairs.png
270,270,Ibico Laser Imprintable Binding System Covers,,,,
271,271,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box","Xếp hạng: 4,4",41 đánh giá,"22,49 US$",
273,273,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand","Xếp hạng: 4,6",8 đánh giá,"509,17 US$",
280,280,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack","Xếp hạng: 4,7",13 đánh giá,"29,99 US$",
284,284,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,,,,
292,292,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,,99 đánh giá,"309,00 US$",Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier.png
299,299,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Xếp hạng: 5,2 đánh giá,"555,74 US$",
305,305,Storex Dura Pro Binders,,,,
309,309,Hon 5100 Series Wood Tables,,,,
310,310,"OIC Binder Clips, Mini, 1/4"" Capacity, Black","Xếp hạng: 4,7",431 đánh giá,"7,39 US$",
312,312,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White","Xếp hạng: 4,7",15.263 đánh giá,"58,99 US$",
316,316,GBC DocuBind P400 Electric Binding System,,,,
318,318,"#10 Gummed Flap White Envelopes, 100/Box","Xếp hạng: 4,8",14 đánh giá,"8,44 US$",
320,320,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”","Xếp hạng: 4,3",48 đánh giá,"12,40 US$",
321,321,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,,74 đánh giá,"27,99 US$",Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection.png
322,322,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""","Xếp hạng: 4,8",312 đánh giá,"22,95 US$",
334,334,Xerox 1960,,24 đánh giá,"19,90 US$",Xerox 1960.png
335,335,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Còn hàng,142 đánh giá,"48,99 US$",
338,338,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black","Xếp hạng: 4,5",28 đánh giá,"33,66 US$",
340,340,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""","Xếp hạng: 4,1",2 đánh giá,"15,92 US$",
341,341,Sony 32GB Class 10 Micro SDHC R40 Memory Card,,269 đánh giá,"116,22 US$",Sony 32GB Class 10 Micro SDHC R40 Memory Card.png
342,342,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal","Xếp hạng: 4,3",52 đánh giá,"434,63 US$",
345,345,3M Hangers With Command Adhesive,,2 đánh giá,"7,81 US$",3M Hangers With Command Adhesive.png
349,349,Canon PC1080F Personal Copier,,,,
353,353,Xerox 1958,,5 đánh giá,"2.400,00 US$",Xerox 1958.png
354,354,"Acme 10"" Easy Grip Assistive Scissors",,,,
356,356,"Contico 72""H Heavy-Duty Storage System","Xếp hạng: 4,3",206 đánh giá,"106,97 US$",
357,357,Sony 64GB Class 10 Micro SDHC R40 Memory Card,,,,
359,359,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack","Xếp hạng: 4,7",9.885 đánh giá,"5,49 US$",
360,360,Staple holder,,40.544 đánh giá,"9,97 US$",Staple holder.png
361,361,Sharp AL-1530CS Digital Copier,,,,
364,364,"Wirebound Service Call Books, 5 1/2"" x 4""",Xếp hạng: 5,3 đánh giá,"11,25 US$",
370,370,Bevis Steel Folding Chairs,,,,
372,372,American Pencil,,86.366 đánh giá,"4,95 US$",American Pencil.png
388,388,Xerox 1897,,,,
391,391,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,"Xếp hạng: 3,5",16 đánh giá,"235,10 US$",
392,392,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Xếp hạng: 5,1 đánh giá,"61,99 US$",
393,393,"Xerox Color Copier Paper, 11"" x 17"", Ream","Xếp hạng: 4,6",241 đánh giá,"8,49 US$",
398,398,Fellowes Bankers Box Recycled Super Stor/Drawer,"Xếp hạng: 4,3",9 đánh giá,"134,23 US$",
402,402,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,"Xếp hạng: 4,4",585 đánh giá,"17,91 US$",
404,404,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,,,,
408,408,3M Office Air Cleaner,,137 đánh giá,"24,17 US$",3M Office Air Cleaner.png
410,410,Acco D-Ring Binder w/DublLock,Xếp hạng: 4,85 đánh giá,"32,00 US$",
412,412,Poly Designer Cover & Back,,,,
417,417,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",,10 đánh giá,"28,44 US$",
422,422,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Sản phẩm,280 đánh giá,"11,59 US$",
426,426,"Fellowes Strictly Business Drawer File, Letter/Legal Size","Xếp hạng: 4,8",628 đánh giá,"12,29 US$",
427,427,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,,37 đánh giá,"6,99 US$",Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink.png
432,432,Apple iPhone 5S,,,,
437,437,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,,,,
441,441,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Sản phẩm,2 đánh giá,"194,92 US$",
443,443,Vinyl Sectional Post Binders,,,,
447,447,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11","Xếp hạng: 4,2",34 đánh giá,"94,42 US$",
454,454,Newell 317,,,,
458,458,Tennsco Single-Tier Lockers,,,,
461,461,Motorola HK250 Universal Bluetooth Headset,,,,
463,463,Global Commerce Series High-Back Swivel/Tilt Chairs,Còn hàng,28 đánh giá,"183,99 US$",
467,467,Safco Contoured Stacking Chairs,,,,
473,473,Eureka The Boss Cordless Rechargeable Stick Vac,,9.904 đánh giá,"168,29 US$",Eureka The Boss Cordless Rechargeable Stick Vac.png
474,474,"Situations Contoured Folding Chairs, 4/Set","Xếp hạng: 4,7",16 đánh giá,"207,00 US$",
475,475,Enermax Aurora Lite Keyboard,,,,
476,476,LG Electronics Tone+ HBS-730 Bluetooth Headset,,,,
483,483,HON 5400 Series Task Chairs for Big and Tall,,2.235 đánh giá,"170,98 US$",HON 5400 Series Task Chairs for Big and Tall.png
484,484,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock","Xếp hạng: 4,5",40 đánh giá,"92,99 US$",
489,489,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,,,,
494,494,"Alliance Big Bands Rubber Bands, 12/Pack","Xếp hạng: 4,6",1.985 đánh giá,"5,82 US$",
495,495,Cisco SPA301,,,,
504,504,"Contract Clock, 14"", Brown","Xếp hạng: 3,4",20 đánh giá,"35,00 US$",
508,508,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box","Xếp hạng: 4,7",405 đánh giá,"54,93 US$",
517,517,GE 2-Jack Phone Line Splitter,,227 đánh giá,"11,97 US$",GE 2-Jack Phone Line Splitter.png
521,521,Motorola L804,,,,
533,533,"Mini 13-1/2 Capacity Data Binder Rack, Pearl","Xếp hạng: 4,3",1.918 đánh giá,"499,00 US$",
535,535,Belkin Premiere Surge Master II 8-outlet surge protector,,5.560 đánh giá,"24,99 US$",Belkin Premiere Surge Master II 8-outlet surge protector.png
536,536,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red","Xếp hạng: 4,2",21 đánh giá,"16,31 US$",
540,540,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack","Xếp hạng: 4,5",189 đánh giá,"9,26 US$",
543,543,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,"Xếp hạng: 4,8",11.232 đánh giá,"53,92 US$",
553,553,Sony 16GB Class 10 Micro SDHC R40 Memory Card,,,,
561,561,12-1/2 Diameter Round Wall Clock,"Xếp hạng: 4,6",295 đánh giá,"19,53 US$",
567,567,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Còn hàng,170 đánh giá,"30,60 US$",
568,568,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock","Xếp hạng: 3,2",2 đánh giá,"24,50 US$",
569,569,Ibico Hi-Tech Manual Binding System,,,,
574,574,"Bush Andora Bookcase, Maple/Graphite Gray Finish","Xếp hạng: 4,5",356 đánh giá,"185,14 US$",
